no,scenario,video_id,yielding,eHMIOn,distPed,p1,p2,camera,group,video_length
0,todo,video_cameramoving_test0,0,0,10,1,1,3,1,10000
0,todo,video_cameramoving_test1,0,0,10,1,1,4,1,10000
0,tutorial - 0,video_0,0,1,0,0,0,0,0,10000
1,tutorial - 1,video_1,0,0,0,0,0,0,0,10000
2,tutorial - 2,video_2,1,1,0,0,0,0,0,10000
3,tutorial - 3,video_3,1,0,0,0,0,0,0,10000
4,todo,video_4,0,0,1,0,1,0,1,10000
5,todo,video_5,0,0,2,0,1,0,1,10000
6,todo,video_6,0,0,3,0,1,0,1,10000
7,todo,video_7,0,0,4,0,1,0,1,10000
8,todo,video_8,0,0,5,0,1,0,1,10000
9,todo,video_9,0,0,6,0,1,0,1,10000
10,todo,video_10,0,0,7,0,1,0,1,10000
11,todo,video_11,0,0,8,0,1,0,1,10000
12,todo,video_12,0,0,9,0,1,0,1,10000
13,todo,video_13,0,0,10,0,1,0,1,10000
14,todo,video_14,1,0,1,0,1,0,1,10000
15,todo,video_15,1,0,2,0,1,0,1,10000
16,todo,video_16,1,0,3,0,1,0,1,10000
17,todo,video_17,1,0,4,0,1,0,1,10000
18,todo,video_18,1,0,5,0,1,0,1,10000
19,todo,video_19,1,0,6,0,1,0,1,10000
20,todo,video_20,1,0,7,0,1,0,1,10000
21,todo,video_21,1,0,8,0,1,0,1,10000
22,todo,video_22,1,0,9,0,1,0,1,10000
23,todo,video_23,1,0,10,0,1,0,1,10000
24,todo,video_24,2,0,1,0,1,0,1,10000
25,todo,video_25,2,0,2,0,1,0,1,10000
26,todo,video_26,2,0,3,0,1,0,1,10000
27,todo,video_27,2,0,4,0,1,0,1,10000
28,todo,video_28,2,0,5,0,1,0,1,10000
29,todo,video_29,2,0,6,0,1,0,1,10000
30,todo,video_30,2,0,7,0,1,0,1,10000
31,todo,video_31,2,0,8,0,1,0,1,10000
32,todo,video_32,2,0,9,0,1,0,1,10000
33,todo,video_33,2,0,10,0,1,0,1,10000
34,todo,video_34,0,1,1,0,1,0,1,10000
35,todo,video_35,0,1,2,0,1,0,1,10000
36,todo,video_36,0,1,3,0,1,0,1,10000
37,todo,video_37,0,1,4,0,1,0,1,10000
38,todo,video_38,0,1,5,0,1,0,1,10000
39,todo,video_39,0,1,6,0,1,0,1,10000
40,todo,video_40,0,1,7,0,1,0,1,10000
41,todo,video_41,0,1,8,0,1,0,1,10000
42,todo,video_42,0,1,9,0,1,0,1,10000
43,todo,video_43,0,1,10,0,1,0,1,10000
44,todo,video_44,1,1,1,0,1,0,1,10000
45,todo,video_45,1,1,2,0,1,0,1,10000
46,todo,video_46,1,1,3,0,1,0,1,10000
47,todo,video_47,1,1,4,0,1,0,1,10000
48,todo,video_48,1,1,5,0,1,0,1,10000
49,todo,video_49,1,1,6,0,1,0,1,10000
50,todo,video_50,1,1,7,0,1,0,1,10000
51,todo,video_51,1,1,8,0,1,0,1,10000
52,todo,video_52,1,1,9,0,1,0,1,10000
53,todo,video_53,1,1,10,0,1,0,1,10000
54,todo,video_54,2,1,1,0,1,0,1,10000
55,todo,video_55,2,1,2,0,1,0,1,10000
56,todo,video_56,2,1,3,0,1,0,1,10000
57,todo,video_57,2,1,4,0,1,0,1,10000
58,todo,video_58,2,1,5,0,1,0,1,10000
59,todo,video_59,2,1,6,0,1,0,1,10000
60,todo,video_60,2,1,7,0,1,0,1,10000
61,todo,video_61,2,1,8,0,1,0,1,10000
62,todo,video_62,2,1,9,0,1,0,1,10000
63,todo,video_63,2,1,10,0,1,0,1,10000
64,todo,video_64,0,0,1,1,0,1,2,10000
65,todo,video_65,0,0,2,1,0,1,2,10000
66,todo,video_66,0,0,3,1,0,1,2,10000
67,todo,video_67,0,0,4,1,0,1,2,10000
68,todo,video_68,0,0,5,1,0,1,2,10000
69,todo,video_69,0,0,6,1,0,1,2,10000
70,todo,video_70,0,0,7,1,0,1,2,10000
71,todo,video_71,0,0,8,1,0,1,2,10000
72,todo,video_72,0,0,9,1,0,1,2,10000
73,todo,video_73,0,0,10,1,0,1,2,10000
74,todo,video_74,1,0,1,1,0,1,2,10000
75,todo,video_75,1,0,2,1,0,1,2,10000
76,todo,video_76,1,0,3,1,0,1,2,10000
77,todo,video_77,1,0,4,1,0,1,2,10000
78,todo,video_78,1,0,5,1,0,1,2,10000
79,todo,video_79,1,0,6,1,0,1,2,10000
80,todo,video_80,1,0,7,1,0,1,2,10000
81,todo,video_81,1,0,8,1,0,1,2,10000
82,todo,video_82,1,0,9,1,0,1,2,10000
83,todo,video_83,1,0,10,1,0,1,2,10000
84,todo,video_84,2,0,1,1,0,1,2,10000
85,todo,video_85,2,0,2,1,0,1,2,10000
86,todo,video_86,2,0,3,1,0,1,2,10000
87,todo,video_87,2,0,4,1,0,1,2,10000
88,todo,video_88,2,0,5,1,0,1,2,10000
89,todo,video_89,2,0,6,1,0,1,2,10000
90,todo,video_90,2,0,7,1,0,1,2,10000
91,todo,video_91,2,0,8,1,0,1,2,10000
92,todo,video_92,2,0,9,1,0,1,2,10000
93,todo,video_93,2,0,10,1,0,1,2,10000
94,todo,video_94,0,1,1,1,0,1,2,10000
95,todo,video_95,0,1,2,1,0,1,2,10000
96,todo,video_96,0,1,3,1,0,1,2,10000
97,todo,video_97,0,1,4,1,0,1,2,10000
98,todo,video_98,0,1,5,1,0,1,2,10000
99,todo,video_99,0,1,6,1,0,1,2,10000
100,todo,video_100,0,1,7,1,0,1,2,10000
101,todo,video_101,0,1,8,1,0,1,2,10000
102,todo,video_102,0,1,9,1,0,1,2,10000
103,todo,video_103,0,1,10,1,0,1,2,10000
104,todo,video_104,1,1,1,1,0,1,2,10000
105,todo,video_105,1,1,2,1,0,1,2,10000
106,todo,video_106,1,1,3,1,0,1,2,10000
107,todo,video_107,1,1,4,1,0,1,2,10000
108,todo,video_108,1,1,5,1,0,1,2,10000
109,todo,video_109,1,1,6,1,0,1,2,10000
110,todo,video_110,1,1,7,1,0,1,2,10000
111,todo,video_111,1,1,8,1,0,1,2,10000
112,todo,video_112,1,1,9,1,0,1,2,10000
113,todo,video_113,1,1,10,1,0,1,2,10000
114,todo,video_114,2,1,1,1,0,1,2,10000
115,todo,video_115,2,1,2,1,0,1,2,10000
116,todo,video_116,2,1,3,1,0,1,2,10000
117,todo,video_117,2,1,4,1,0,1,2,10000
